"Date","Price","Open","High","Low","Change %"
"Dec 15","1.064","1.064","1.064","1.064","13.92"
"Nov 15","0.934","0.934","0.934","0.934","26.90"
"Oct 15","0.736","0.736","0.736","0.736","14.11"
"Sep 15","0.645","0.645","0.645","0.645","-12.72"
"Aug 15","0.739","0.739","0.739","0.739","9.32"
"Jul 15","0.676","0.676","0.676","0.676","6.12"
"Jun 15","0.637","0.637","0.637","0.637","5.29"
"May 15","0.605","0.605","0.605","0.605","4.49"
"Apr 15","0.579","0.579","0.579","0.579","3.58"
"Mar 15","0.559","0.559","0.559","0.559","-10.70"
"Feb 15","0.626","0.626","0.626","0.626","32.63"
"Jan 15","0.472","0.472","0.472","0.472","-30.18"
"Dec 14","0.676","0.676","0.676","0.676","37.40"
"Nov 14","0.492","0.492","0.492","0.492","-1.01"
"Oct 14","0.497","0.497","0.497","0.497","-14.75"
"Sep 14","0.583","0.583","0.583","0.583","18.50"
"Aug 14","0.492","0.492","0.492","0.492","-8.72"
"Jul 14","0.539","0.539","0.539","0.539","17.94"
"Jun 14","0.457","0.457","0.457","0.457","23.18"
"May 14","0.371","0.371","0.371","0.371","-11.24"
"Apr 14","0.418","0.418","0.418","0.418","-2.79"
"Mar 14","0.430","0.430","0.430","0.430","30.70"
"Feb 14","0.329","0.329","0.329","0.329","-3.24"
"Jan 14","0.340","0.340","0.340","0.340","-11.46"
"Dec 13","0.384","0.384","0.384","0.384","36.65"
"Nov 13","0.281","0.281","0.281","0.281","-9.06"
"Oct 13","0.309","0.309","0.309","0.309","-3.74"
"Sep 13","0.321","0.321","0.321","0.321","-20.35"
"Aug 13","0.403","0.403","0.403","0.403","28.75"
"Jul 13","0.313","0.313","0.313","0.313","-12.81"
"Jun 13","0.359","0.359","0.359","0.359","20.88"
"May 13","0.297","0.297","0.297","0.297","40.76"
"Apr 13","0.211","0.211","0.211","0.211","-15.60"
"Mar 13","0.250","0.250","0.250","0.250","5.04"
"Feb 13","0.238","0.238","0.238","0.238","-10.53"
"Jan 13","0.266","0.266","0.266","0.266","5.98"
"Dec 12","0.251","0.251","0.251","0.251","0.40"
"Nov 12","0.250","0.250","0.250","0.250","-12.28"
"Oct 12","0.285","0.285","0.285","0.285","21.79"
"Sep 12","0.234","0.234","0.234","0.234","3.54"
"Aug 12","0.226","0.226","0.226","0.226","5.12"
"Jul 12","0.215","0.215","0.215","0.215","-29.51"
"Jun 12","0.305","0.305","0.305","0.305","14.66"
"May 12","0.266","0.266","0.266","0.266","1.53"
"Apr 12","0.262","0.262","0.262","0.262","-22.02"
"Mar 12","0.336","0.336","0.336","0.336","13.13"
"Feb 12","0.297","0.297","0.297","0.297","35.62"
"Jan 12","0.219","0.219","0.219","0.219","-11.34"
"Dec 11","0.247","0.247","0.247","0.247","-4.26"
"Nov 11","0.258","0.258","0.258","0.258","3.20"
"Oct 11","0.250","0.250","0.250","0.250","1.21"
"Sep 11","0.247","0.247","0.247","0.247","21.67"
"Aug 11","0.203","0.203","0.203","0.203","-43.45"
